variant	width	format	file	bytes	human
original-like	768	avif	/assets/backgrounds/homepage/original-like-768.avif	3637	3.6 KiB
original-like	768	webp	/assets/backgrounds/homepage/original-like-768.webp	6588	6.4 KiB
original-like	1280	avif	/assets/backgrounds/homepage/original-like-1280.avif	6322	6.2 KiB
original-like	1280	webp	/assets/backgrounds/homepage/original-like-1280.webp	13104	12.8 KiB
original-like	1920	avif	/assets/backgrounds/homepage/original-like-1920.avif	9549	9.3 KiB
original-like	1920	webp	/assets/backgrounds/homepage/original-like-1920.webp	23462	22.9 KiB
original-like	2560	avif	/assets/backgrounds/homepage/original-like-2560.avif	12773	12.5 KiB
original-like	2560	webp	/assets/backgrounds/homepage/original-like-2560.webp	36460	35.6 KiB
soft	768	avif	/assets/backgrounds/homepage/soft-768.avif	3545	3.5 KiB
soft	768	webp	/assets/backgrounds/homepage/soft-768.webp	6532	6.4 KiB
soft	1280	avif	/assets/backgrounds/homepage/soft-1280.avif	6200	6.1 KiB
soft	1280	webp	/assets/backgrounds/homepage/soft-1280.webp	13094	12.8 KiB
soft	1920	avif	/assets/backgrounds/homepage/soft-1920.avif	9332	9.1 KiB
soft	1920	webp	/assets/backgrounds/homepage/soft-1920.webp	23374	22.8 KiB
soft	2560	avif	/assets/backgrounds/homepage/soft-2560.avif	12578	12.3 KiB
soft	2560	webp	/assets/backgrounds/homepage/soft-2560.webp	36484	35.6 KiB
